rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
7,177.2,306992908,2,"Ara-Kara, City of Echoes",2024-11-13T17:25:20.000Z,1213829,1800999,2,Xal'atath's Bargain: Voidbound,只为种族天赋,Paladin,Retribution,dps,Silver Hand
7,177.2,306992908,2,"Ara-Kara, City of Echoes",2024-11-13T17:25:20.000Z,1213829,1800999,2,Xal'atath's Bargain: Voidbound,你快来救我啊,Druid,Balance,dps,Deathwing
7,177.2,306992908,2,"Ara-Kara, City of Echoes",2024-11-13T17:25:20.000Z,1213829,1800999,2,Xal'atath's Bargain: Voidbound,虚空圣焰,Priest,Discipline,healer,Al'ar
7,177.2,306992908,2,"Ara-Kara, City of Echoes",2024-11-13T17:25:20.000Z,1213829,1800999,2,Xal'atath's Bargain: Voidbound,灬下次我请灬,Death Knight,Frost,dps,Deathwing
8,173.9,309508775,2,"Ara-Kara, City of Echoes",2024-11-28T15:44:27.000Z,1371206,1800999,2,Xal'atath's Bargain: Voidbound,咔咔的,Shaman,Restoration,healer,The Great Sea
8,173.9,309508775,2,"Ara-Kara, City of Echoes",2024-11-28T15:44:27.000Z,1371206,1800999,2,Xal'atath's Bargain: Voidbound,老将,Warrior,Arms,dps,Ashenvale
8,173.9,309508775,2,"Ara-Kara, City of Echoes",2024-11-28T15:44:27.000Z,1371206,1800999,2,Xal'atath's Bargain: Voidbound,小阿神,Death Knight,Frost,dps,Galakrond
8,173.9,309508775,2,"Ara-Kara, City of Echoes",2024-11-28T15:44:27.000Z,1371206,1800999,2,Xal'atath's Bargain: Voidbound,搂起整,Druid,Guardian,tank,Bone Wastes
8,173.9,309508775,2,"Ara-Kara, City of Echoes",2024-11-28T15:44:27.000Z,1371206,1800999,2,Xal'atath's Bargain: Voidbound,笑忘歌丶,Paladin,Retribution,dps,Sethekk
9,173.4,306778267,2,"Ara-Kara, City of Echoes",2024-11-12T17:55:35.000Z,1397588,1800999,2,Xal'atath's Bargain: Voidbound,Daylami,Shaman,Enhancement,dps,Scarlet Crusade
9,173.4,306778267,2,"Ara-Kara, City of Echoes",2024-11-12T17:55:35.000Z,1397588,1800999,2,Xal'atath's Bargain: Voidbound,鑾鈴,Hunter,Beast Mastery,dps,Thaurissan
9,173.4,306778267,2,"Ara-Kara, City of Echoes",2024-11-12T17:55:35.000Z,1397588,1800999,2,Xal'atath's Bargain: Voidbound,长眉小德,Druid,Guardian,tank,Burning Blade
9,173.4,306778267,2,"Ara-Kara, City of Echoes",2024-11-12T17:55:35.000Z,1397588,1800999,2,Xal'atath's Bargain: Voidbound,Playerazqdew,Death Knight,Frost,dps,Al'ar
9,173.4,306778267,2,"Ara-Kara, City of Echoes",2024-11-12T17:55:35.000Z,1397588,1800999,2,Xal'atath's Bargain: Voidbound,嗷呜鱼,Shaman,Restoration,healer,Barrens
10,172.6,297848457,2,"Ara-Kara, City of Echoes",2024-10-05T11:56:21.000Z,1436940,1800999,2,Xal'atath's Bargain: Voidbound,工具之握,Death Knight,Frost,dps,Bronzebeard
10,172.6,297848457,2,"Ara-Kara, City of Echoes",2024-10-05T11:56:21.000Z,1436940,1800999,2,Xal'atath's Bargain: Voidbound,艾莎丨,Warlock,Demonology,dps,Burning Blade
10,172.6,297848457,2,"Ara-Kara, City of Echoes",2024-10-05T11:56:21.000Z,1436940,1800999,2,Xal'atath's Bargain: Voidbound,工具武僧,Monk,Mistweaver,healer,Bronzebeard
10,172.6,297848457,2,"Ara-Kara, City of Echoes",2024-10-05T11:56:21.000Z,1436940,1800999,2,Xal'atath's Bargain: Voidbound,泆意,Mage,Frost,dps,Isillien
10,172.6,297848457,2,"Ara-Kara, City of Echoes",2024-10-05T11:56:21.000Z,1436940,1800999,2,Xal'atath's Bargain: Voidbound,工具熊熊,Druid,Guardian,tank,Bronzebeard
