rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
7,195,298682068,3,"Ara-Kara, City of Echoes",2024-10-08T13:28:57.000Z,794799,1800999,3,Xal'atath's Bargain: Voidbound,Weirdhunter,Hunter,Marksmanship,dps,Azshara
7,195,298682068,3,"Ara-Kara, City of Echoes",2024-10-08T13:28:57.000Z,794799,1800999,3,Xal'atath's Bargain: Voidbound,할프단,Shaman,Elemental,dps,Azshara
7,195,298682068,3,"Ara-Kara, City of Echoes",2024-10-08T13:28:57.000Z,794799,1800999,3,Xal'atath's Bargain: Voidbound,삼돌이,Shaman,Restoration,healer,Azshara
8,195,298999150,3,"Ara-Kara, City of Echoes",2024-10-09T12:48:26.000Z,814301,1800999,3,Xal'atath's Bargain: Voidbound,가노스,Death Knight,Blood,tank,Azshara
8,195,298999150,3,"Ara-Kara, City of Echoes",2024-10-09T12:48:26.000Z,814301,1800999,3,Xal'atath's Bargain: Voidbound,Xzapa,Hunter,Survival,dps,Azshara
8,195,298999150,3,"Ara-Kara, City of Echoes",2024-10-09T12:48:26.000Z,814301,1800999,3,Xal'atath's Bargain: Voidbound,뱅츄럴,Mage,Fire,dps,Azshara
8,195,298999150,3,"Ara-Kara, City of Echoes",2024-10-09T12:48:26.000Z,814301,1800999,3,Xal'atath's Bargain: Voidbound,아인소프오르,Priest,Discipline,healer,Azshara
8,195,298999150,3,"Ara-Kara, City of Echoes",2024-10-09T12:48:26.000Z,814301,1800999,3,Xal'atath's Bargain: Voidbound,모코흥마,Warlock,Affliction,dps,Azshara
9,195,297593292,3,"Ara-Kara, City of Echoes",2024-10-04T10:58:48.000Z,819083,1800999,3,Xal'atath's Bargain: Voidbound,혈신연,Warrior,Protection,tank,Zul'jin
9,195,297593292,3,"Ara-Kara, City of Echoes",2024-10-04T10:58:48.000Z,819083,1800999,3,Xal'atath's Bargain: Voidbound,파괴의도둑,Rogue,Assassination,dps,Hellscream
9,195,297593292,3,"Ara-Kara, City of Echoes",2024-10-04T10:58:48.000Z,819083,1800999,3,Xal'atath's Bargain: Voidbound,힐천마,Priest,Discipline,healer,Azshara
9,195,297593292,3,"Ara-Kara, City of Echoes",2024-10-04T10:58:48.000Z,819083,1800999,3,Xal'atath's Bargain: Voidbound,성기사쪼아,Paladin,Retribution,dps,Deathwing
9,195,297593292,3,"Ara-Kara, City of Echoes",2024-10-04T10:58:48.000Z,819083,1800999,3,Xal'atath's Bargain: Voidbound,퐁퐁인도자-228010031,Shaman,Elemental,dps,Hellscream
10,195,298926281,3,"Ara-Kara, City of Echoes",2024-10-09T17:52:57.000Z,824323,1800999,3,Xal'atath's Bargain: Voidbound,가노스,Death Knight,Blood,tank,Azshara
10,195,298926281,3,"Ara-Kara, City of Echoes",2024-10-09T17:52:57.000Z,824323,1800999,3,Xal'atath's Bargain: Voidbound,언데드막둥이,Warlock,Destruction,dps,Azshara
10,195,298926281,3,"Ara-Kara, City of Echoes",2024-10-09T17:52:57.000Z,824323,1800999,3,Xal'atath's Bargain: Voidbound,악마근육왕고라니,Demon Hunter,Havoc,dps,Azshara
10,195,298926281,3,"Ara-Kara, City of Echoes",2024-10-09T17:52:57.000Z,824323,1800999,3,Xal'atath's Bargain: Voidbound,샤프튠,Shaman,Restoration,healer,Azshara
10,195,298926281,3,"Ara-Kara, City of Echoes",2024-10-09T17:52:57.000Z,824323,1800999,3,Xal'atath's Bargain: Voidbound,앵그리티오,Paladin,Retribution,dps,Azshara
11,195,305601343,3,"Ara-Kara, City of Echoes",2024-11-07T07:45:08.000Z,828815,1800999,3,Xal'atath's Bargain: Voidbound,뭐잉마,Mage,Frost,dps,Azshara
11,195,305601343,3,"Ara-Kara, City of Echoes",2024-11-07T07:45:08.000Z,828815,1800999,3,Xal'atath's Bargain: Voidbound,뮤직투나잇,Shaman,Elemental,dps,Azshara
11,195,305601343,3,"Ara-Kara, City of Echoes",2024-11-07T07:45:08.000Z,828815,1800999,3,Xal'atath's Bargain: Voidbound,호구니전사,Warrior,Protection,tank,Azshara
11,195,305601343,3,"Ara-Kara, City of Echoes",2024-11-07T07:45:08.000Z,828815,1800999,3,Xal'atath's Bargain: Voidbound,못생긴둬프술사,Shaman,Restoration,healer,Azshara
11,195,305601343,3,"Ara-Kara, City of Echoes",2024-11-07T07:45:08.000Z,828815,1800999,3,Xal'atath's Bargain: Voidbound,미노키오,Death Knight,Unholy,dps,Azshara
12,195,297374490,3,"Ara-Kara, City of Echoes",2024-10-03T12:34:50.000Z,830750,1800999,3,Xal'atath's Bargain: Voidbound,백화요랑,Druid,Feral,dps,Azshara
12,195,297374490,3,"Ara-Kara, City of Echoes",2024-10-03T12:34:50.000Z,830750,1800999,3,Xal'atath's Bargain: Voidbound,시인,Demon Hunter,Vengeance,tank,Azshara
12,195,297374490,3,"Ara-Kara, City of Echoes",2024-10-03T12:34:50.000Z,830750,1800999,3,Xal'atath's Bargain: Voidbound,폴리포이드-104992264,Shaman,Enhancement,dps,Azshara
12,195,297374490,3,"Ara-Kara, City of Echoes",2024-10-03T12:34:50.000Z,830750,1800999,3,Xal'atath's Bargain: Voidbound,듀크,Druid,Restoration,healer,Azshara
12,195,297374490,3,"Ara-Kara, City of Echoes",2024-10-03T12:34:50.000Z,830750,1800999,3,Xal'atath's Bargain: Voidbound,데빈부커,Paladin,Retribution,dps,Azshara
13,195,298059368,3,"Ara-Kara, City of Echoes",2024-10-06T02:47:57.000Z,837204,1800999,3,Xal'atath's Bargain: Voidbound,광물캐는흑우,Druid,Guardian,tank,Azshara
13,195,298059368,3,"Ara-Kara, City of Echoes",2024-10-06T02:47:57.000Z,837204,1800999,3,Xal'atath's Bargain: Voidbound,발메,Hunter,Beast Mastery,dps,Azshara
13,195,298059368,3,"Ara-Kara, City of Echoes",2024-10-06T02:47:57.000Z,837204,1800999,3,Xal'atath's Bargain: Voidbound,인내전사,Warrior,Fury,dps,Azshara
13,195,298059368,3,"Ara-Kara, City of Echoes",2024-10-06T02:47:57.000Z,837204,1800999,3,Xal'atath's Bargain: Voidbound,로즈느와,Shaman,Restoration,healer,Azshara
13,195,298059368,3,"Ara-Kara, City of Echoes",2024-10-06T02:47:57.000Z,837204,1800999,3,Xal'atath's Bargain: Voidbound,마검랑,Mage,Frost,dps,Gul'dan
14,195,298159652,3,"Ara-Kara, City of Echoes",2024-10-06T13:07:54.000Z,840220,1800999,3,Xal'atath's Bargain: Voidbound,어반플랜,Priest,Holy,healer,Azshara
14,195,298159652,3,"Ara-Kara, City of Echoes",2024-10-06T13:07:54.000Z,840220,1800999,3,Xal'atath's Bargain: Voidbound,엑세링,Demon Hunter,Vengeance,tank,Azshara
14,195,298159652,3,"Ara-Kara, City of Echoes",2024-10-06T13:07:54.000Z,840220,1800999,3,Xal'atath's Bargain: Voidbound,활쏴요,Hunter,Marksmanship,dps,Azshara
14,195,298159652,3,"Ara-Kara, City of Echoes",2024-10-06T13:07:54.000Z,840220,1800999,3,Xal'atath's Bargain: Voidbound,히발히발히발,Druid,Balance,dps,Azshara
14,195,298159652,3,"Ara-Kara, City of Echoes",2024-10-06T13:07:54.000Z,840220,1800999,3,Xal'atath's Bargain: Voidbound,박서노,Death Knight,Frost,dps,Azshara
15,195,298636051,3,"Ara-Kara, City of Echoes",2024-10-08T13:22:03.000Z,844098,1800999,3,Xal'atath's Bargain: Voidbound,도장포,Shaman,Enhancement,dps,Azshara
15,195,298636051,3,"Ara-Kara, City of Echoes",2024-10-08T13:22:03.000Z,844098,1800999,3,Xal'atath's Bargain: Voidbound,각성민아리,Priest,Holy,healer,Azshara
15,195,298636051,3,"Ara-Kara, City of Echoes",2024-10-08T13:22:03.000Z,844098,1800999,3,Xal'atath's Bargain: Voidbound,옆집할아버지,Warrior,Fury,dps,Hyjal
15,195,298636051,3,"Ara-Kara, City of Echoes",2024-10-08T13:22:03.000Z,844098,1800999,3,Xal'atath's Bargain: Voidbound,길을잘모르겠어요,Death Knight,Blood,tank,Azshara
15,195,298636051,3,"Ara-Kara, City of Echoes",2024-10-08T13:22:03.000Z,844098,1800999,3,Xal'atath's Bargain: Voidbound,소위연-228490385,Warlock,Demonology,dps,Azshara
16,195,298732214,3,"Ara-Kara, City of Echoes",2024-10-08T19:01:49.000Z,844586,1800999,3,Xal'atath's Bargain: Voidbound,Gasi,Shaman,Enhancement,dps,Gul'dan
16,195,298732214,3,"Ara-Kara, City of Echoes",2024-10-08T19:01:49.000Z,844586,1800999,3,Xal'atath's Bargain: Voidbound,삐쭉빼쭉이,Warrior,Protection,tank,Azshara
16,195,298732214,3,"Ara-Kara, City of Echoes",2024-10-08T19:01:49.000Z,844586,1800999,3,Xal'atath's Bargain: Voidbound,Whitestuff,Priest,Discipline,healer,Azshara
16,195,298732214,3,"Ara-Kara, City of Echoes",2024-10-08T19:01:49.000Z,844586,1800999,3,Xal'atath's Bargain: Voidbound,사령관태치,Hunter,Beast Mastery,dps,Azshara
16,195,298732214,3,"Ara-Kara, City of Echoes",2024-10-08T19:01:49.000Z,844586,1800999,3,Xal'atath's Bargain: Voidbound,로티맨-229017917,Paladin,Retribution,dps,Azshara
17,195,298390079,3,"Ara-Kara, City of Echoes",2024-10-07T04:00:23.000Z,844980,1800999,3,Xal'atath's Bargain: Voidbound,무서운새퀴,Warlock,Destruction,dps,Azshara
17,195,298390079,3,"Ara-Kara, City of Echoes",2024-10-07T04:00:23.000Z,844980,1800999,3,Xal'atath's Bargain: Voidbound,촬순이아빠,Paladin,Protection,tank,Cenarius
17,195,298390079,3,"Ara-Kara, City of Echoes",2024-10-07T04:00:23.000Z,844980,1800999,3,Xal'atath's Bargain: Voidbound,Bemine,Paladin,Retribution,dps,Azshara
17,195,298390079,3,"Ara-Kara, City of Echoes",2024-10-07T04:00:23.000Z,844980,1800999,3,Xal'atath's Bargain: Voidbound,질척이는나여사,Shaman,Restoration,healer,Azshara
17,195,298390079,3,"Ara-Kara, City of Echoes",2024-10-07T04:00:23.000Z,844980,1800999,3,Xal'atath's Bargain: Voidbound,Sseolit-228238305,Mage,Frost,dps,Azshara
18,195,298447923,3,"Ara-Kara, City of Echoes",2024-10-07T07:25:42.000Z,851596,1800999,3,Xal'atath's Bargain: Voidbound,눈이넘실거릴걸요-56603799,Priest,Holy,healer,Hyjal
18,195,298447923,3,"Ara-Kara, City of Echoes",2024-10-07T07:25:42.000Z,851596,1800999,3,Xal'atath's Bargain: Voidbound,백별빛,Mage,Frost,dps,Azshara
18,195,298447923,3,"Ara-Kara, City of Echoes",2024-10-07T07:25:42.000Z,851596,1800999,3,Xal'atath's Bargain: Voidbound,Miningdrone,Demon Hunter,Vengeance,tank,Azshara
18,195,298447923,3,"Ara-Kara, City of Echoes",2024-10-07T07:25:42.000Z,851596,1800999,3,Xal'atath's Bargain: Voidbound,요혈,Druid,Balance,dps,Azshara
18,195,298447923,3,"Ara-Kara, City of Echoes",2024-10-07T07:25:42.000Z,851596,1800999,3,Xal'atath's Bargain: Voidbound,벅업다이게임-228461529,Shaman,Enhancement,dps,Azshara
19,195,298812337,3,"Ara-Kara, City of Echoes",2024-10-08T14:52:33.000Z,855917,1800999,3,Xal'atath's Bargain: Voidbound,우타니소헤이,Hunter,Marksmanship,dps,Azshara
19,195,298812337,3,"Ara-Kara, City of Echoes",2024-10-08T14:52:33.000Z,855917,1800999,3,Xal'atath's Bargain: Voidbound,카엘리오,Druid,Feral,dps,Azshara
19,195,298812337,3,"Ara-Kara, City of Echoes",2024-10-08T14:52:33.000Z,855917,1800999,3,Xal'atath's Bargain: Voidbound,천안고,Paladin,Holy,healer,Azshara
19,195,298812337,3,"Ara-Kara, City of Echoes",2024-10-08T14:52:33.000Z,855917,1800999,3,Xal'atath's Bargain: Voidbound,쿠차리온,Shaman,Elemental,dps,Azshara
19,195,298812337,3,"Ara-Kara, City of Echoes",2024-10-08T14:52:33.000Z,855917,1800999,3,Xal'atath's Bargain: Voidbound,Kazaegosa-228474198,Warrior,Protection,tank,Garona
20,195,306370809,3,"Ara-Kara, City of Echoes",2024-11-10T15:22:45.000Z,860368,1800999,3,Xal'atath's Bargain: Voidbound,미카리프,Paladin,Protection,tank,Azshara
20,195,306370809,3,"Ara-Kara, City of Echoes",2024-11-10T15:22:45.000Z,860368,1800999,3,Xal'atath's Bargain: Voidbound,에이스메딕,Priest,Holy,healer,Azshara
20,195,306370809,3,"Ara-Kara, City of Echoes",2024-11-10T15:22:45.000Z,860368,1800999,3,Xal'atath's Bargain: Voidbound,크리스틴다예,Hunter,Beast Mastery,dps,Azshara
20,195,306370809,3,"Ara-Kara, City of Echoes",2024-11-10T15:22:45.000Z,860368,1800999,3,Xal'atath's Bargain: Voidbound,범범둘째,Paladin,Retribution,dps,Azshara
20,195,306370809,3,"Ara-Kara, City of Echoes",2024-11-10T15:22:45.000Z,860368,1800999,3,Xal'atath's Bargain: Voidbound,빌어먹을주술사,Shaman,Elemental,dps,Azshara
21,195,305756386,3,"Ara-Kara, City of Echoes",2024-11-08T01:38:43.000Z,862542,1800999,3,Xal'atath's Bargain: Voidbound,질투해라,Shaman,Restoration,healer,Azshara
21,195,305756386,3,"Ara-Kara, City of Echoes",2024-11-08T01:38:43.000Z,862542,1800999,3,Xal'atath's Bargain: Voidbound,어느가을하늘,Paladin,Protection,tank,Azshara
21,195,305756386,3,"Ara-Kara, City of Echoes",2024-11-08T01:38:43.000Z,862542,1800999,3,Xal'atath's Bargain: Voidbound,캐머마일,Hunter,Beast Mastery,dps,Hyjal
21,195,305756386,3,"Ara-Kara, City of Echoes",2024-11-08T01:38:43.000Z,862542,1800999,3,Xal'atath's Bargain: Voidbound,특수무기,Paladin,Retribution,dps,Azshara
21,195,305756386,3,"Ara-Kara, City of Echoes",2024-11-08T01:38:43.000Z,862542,1800999,3,Xal'atath's Bargain: Voidbound,문술사,Shaman,Elemental,dps,Azshara
22,195,297832682,3,"Ara-Kara, City of Echoes",2024-10-05T08:28:57.000Z,862900,1800999,3,Xal'atath's Bargain: Voidbound,얼라척살감시자,Mage,Fire,dps,Azshara
